disease_id,data_name,cohorte,entidad,sexo,motor_productivo,source
dengue,Dengue,dengue,Baja California,general,Prophet,produccion_dengue
dengue,Dengue,dengue,Baja California,hombres,DeepAR,produccion_dengue
dengue,Dengue,dengue,Baja California,mujeres,DeepAR,produccion_dengue
dengue,Dengue,dengue,Baja California Sur,general,NBGLM,produccion_dengue
dengue,Dengue,dengue,Baja California Sur,hombres,NBGLM,produccion_dengue
dengue,Dengue,dengue,Baja California Sur,mujeres,NBGLM,produccion_dengue
dengue,Dengue,dengue,Campeche,general,NBGLM,produccion_dengue
dengue,Dengue,dengue,Campeche,hombres,Prophet,produccion_dengue
dengue,Dengue,dengue,Campeche,mujeres,DeepAR,produccion_dengue
dengue,Dengue,dengue,Chiapas,general,Prophet,produccion_dengue
dengue,Dengue,dengue,Chiapas,hombres,Prophet,produccion_dengue
dengue,Dengue,dengue,Chiapas,mujeres,Prophet,produccion_dengue
dengue,Dengue,dengue,Chihuahua,general,DeepAR,produccion_dengue
dengue,Dengue,dengue,Chihuahua,hombres,NBGLM,produccion_dengue
dengue,Dengue,dengue,Chihuahua,mujeres,DeepAR,produccion_dengue
dengue,Dengue,dengue,Ciudad de México,general,DeepAR,produccion_dengue
dengue,Dengue,dengue,Ciudad de México,hombres,DeepAR,produccion_dengue
dengue,Dengue,dengue,Ciudad de México,mujeres,NBGLM,produccion_dengue
dengue,Dengue,dengue,Coahuila,general,Prophet,produccion_dengue
dengue,Dengue,dengue,Coahuila,hombres,Prophet,produccion_dengue
dengue,Dengue,dengue,Coahuila,mujeres,Prophet,produccion_dengue
dengue,Dengue,dengue,Colima,general,Prophet,produccion_dengue
dengue,Dengue,dengue,Colima,hombres,DeepAR,produccion_dengue
dengue,Dengue,dengue,Colima,mujeres,Prophet,produccion_dengue
dengue,Dengue,dengue,Durango,general,DeepAR,produccion_dengue
dengue,Dengue,dengue,Durango,hombres,DeepAR,produccion_dengue
dengue,Dengue,dengue,Durango,mujeres,DeepAR,produccion_dengue
dengue,Dengue,dengue,Guanajuato,general,Prophet,produccion_dengue
dengue,Dengue,dengue,Guanajuato,hombres,Prophet,produccion_dengue
dengue,Dengue,dengue,Guanajuato,mujeres,Prophet,produccion_dengue
dengue,Dengue,dengue,Guerrero,general,Prophet,produccion_dengue
dengue,Dengue,dengue,Guerrero,hombres,Prophet,produccion_dengue
dengue,Dengue,dengue,Guerrero,mujeres,Prophet,produccion_dengue
dengue,Dengue,dengue,Hidalgo,general,Prophet,produccion_dengue
dengue,Dengue,dengue,Hidalgo,hombres,DeepAR,produccion_dengue
